3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
2,.667,3,50.000,0,,86,0,2,100.0,4,.667,2.0,66.7,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110200UTA.html,Away,107,13:18,0,0.0,UTA,Rudy Gobert,Jared Butler,8:45,Elijah Hughes,3:14,Malik Fitts,1:35,Miye Oni,1:35,,,,,29:29,Donovan Mitchell,28:28,Bojan Bogdanović,28:12,Royce O'Neale,28:04,Jordan Clarkson,26:40,Joe Ingles,26:05,Mike Conley,25:09,Hassan Whiteside,18:31,Eric Paschall,14:13,107,1,10,4.0,40.0,6.0,60.0,0.0,0.0,Jeremiah Robinson-Earl,21,0,2021-2022,0.0,0,2.0,OKC,86,Shai Gilgeous-Alexander,Isaiah Roby,14:23,Vit Krejci,3:14,,,,,,,,,32:40,Darius Bazley,30:23,Luguentz Dort,30:07,Josh Giddey,28:42,Théo Maledon,21:10,Derrick Favors,20:19,Kenrich Williams,15:52,Aleksej Pokusevski,14:56,Tre Mann,14:54
1,.500,2,66.667,0,0.00,91,0,5,83.3,1,.333,0.0,0.0,1.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110220HOU.html,Away,124,21:08,1,16.7,HOU,Christian Wood,D.J. Augustin,9:15,Armoni Brooks,5:49,Josh Christopher,5:49,Usman Garuba,5:49,KJ Martin,5:49,,,33:25,Kevin Porter Jr.,30:56,Jae'Sean Tate,28:07,Eric Gordon,26:13,Jalen Green,26:01,Daniel Theis,18:03,Alperen Sengun,17:47,David Nwaba,15:50,Danuel House Jr.,11:07,124,1,4,0.0,0.0,3.0,75.0,1.0,25.0,Jeremiah Robinson-Earl,33,0,2021-2022,0.0,1,6.0,OKC,91,Luguentz Dort,Mike Muscala,11:54,Derrick Favors,9:59,Isaiah Roby,9:49,Gabriel Deck,8:56,Vit Krejci,5:49,,,27:07,Shai Gilgeous-Alexander,26:28,Kenrich Williams,22:13,Josh Giddey,19:34,Darius Bazley,17:58,Aleksej Pokusevski,16:45,Théo Maledon,14:39,Ty Jerome,14:39,Tre Mann,13:02
1,.500,2,50.000,0,0.00,115,0,3,75.0,2,.500,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110240OKC.html,Home,103,13:46,1,25.0,PHI,Seth Curry,Paul Reed,9:26,,,,,,,,,,,34:24,Tyrese Maxey,34:03,Joel Embiid,33:17,Tobias Harris,32:54,Danny Green,27:59,Georges Niang,20:23,Matisse Thybulle,20:01,Furkan Korkmaz,16:57,Isaiah Joe,10:36,115,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Jeremiah Robinson-Earl,12,0,2021-2022,0.0,2,4.0,OKC,103,Shai Gilgeous-Alexander,Aleksej Pokusevski,6:43,,,,,,,,,,,38:39,Luguentz Dort,37:27,Josh Giddey,33:34,Darius Bazley,31:46,Kenrich Williams,20:54,Derrick Favors,18:34,Mike Muscala,15:40,Théo Maledon,13:05,Tre Mann,9:52
2,.500,4,50.000,1,0.33,106,0,2,40.0,5,.625,3.0,75.0,4.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110260OKC.html,Home,98,27:12,3,60.0,GSW,Stephen Curry,Nemanja Bjelica,7:36,Gary Payton II,4:55,Chris Chiozza,4:32,Moses Moody,0:46,,,,,32:18,Draymond Green,32:05,Andrew Wiggins,30:42,Jordan Poole,29:17,Damion Lee,25:58,Andre Iguodala,19:18,Kevon Looney,18:04,Otto Porter Jr.,17:23,Juan Toscano-Anderson,17:06,106,1,12,6.0,50.0,6.0,50.0,0.0,0.0,Jeremiah Robinson-Earl,8,1,2021-2022,1.0,3,5.0,OKC,98,Shai Gilgeous-Alexander,Isaiah Roby,2:18,,,,,,,,,,,35:43,Luguentz Dort,32:52,Josh Giddey,27:11,Kenrich Williams,24:43,Théo Maledon,23:55,Darius Bazley,19:44,Mike Muscala,18:30,Aleksej Pokusevski,18:26,Tre Mann,9:26
0,,0,,0,,115,1,1,50.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110270OKC.html,Home,123,5:39,1,50.0,LAL,Anthony Davis,DeAndre Jordan,12:41,,,,,,,,,,,36:34,Russell Westbrook,34:50,Malik Monk,32:17,Carmelo Anthony,30:53,Kent Bazemore,27:41,Austin Reaves,17:46,Avery Bradley,16:38,Rajon Rondo,16:23,Dwight Howard,14:17,115,0,0,0.0,,0.0,,0.0,,Jeremiah Robinson-Earl,8,0,2021-2022,1.0,0,2.0,OKC,123,Shai Gilgeous-Alexander,Aleksej Pokusevski,7:15,Tre Mann,5:19,Gabriel Deck,3:00,,,,,,,37:41,Luguentz Dort,33:57,Josh Giddey,32:13,Darius Bazley,31:52,Derrick Favors,25:51,Kenrich Williams,19:06,Isaiah Roby,16:25,Ty Jerome,14:13,Théo Maledon,7:29
0,.000,2,33.333,1,0.50,82,0,3,100.0,3,.500,3.0,75.0,4.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110300GSW.html,Away,103,18:50,0,0.0,GSW,Jordan Poole,Chris Chiozza,16:34,Juan Toscano-Anderson,8:25,Gary Payton II,6:12,Jonathan Kuminga,6:04,,,,,31:21,Stephen Curry,27:11,Draymond Green,25:30,Andrew Wiggins,24:50,Moses Moody,20:46,Nemanja Bjelica,20:17,Kevon Looney,18:17,Otto Porter Jr.,17:18,Andre Iguodala,17:15,103,0,6,6.0,100.0,0.0,0.0,0.0,0.0,Jeremiah Robinson-Earl,21,0,2021-2022,0.0,2,3.0,OKC,82,Luguentz Dort,Isaiah Roby,8:25,Théo Maledon,8:25,Gabriel Deck,6:59,,,,,,,29:49,Shai Gilgeous-Alexander,28:41,Josh Giddey,27:46,Darius Bazley,27:23,Kenrich Williams,20:01,Ty Jerome,19:27,Aleksej Pokusevski,19:17,Mike Muscala,14:29,Derrick Favors,10:28
0,.000,2,66.667,1,,94,0,3,50.0,1,.333,1.0,100.0,1.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111010LAC.html,Away,99,23:02,3,50.0,LAC,Paul George,Amir Coffey,0:43,,,,,,,,,,,40:23,Reggie Jackson,39:14,Terance Mann,32:29,Nicolas Batum,31:45,Luke Kennard,30:06,Eric Bledsoe,26:28,Isaiah Hartenstein,18:01,Ivica Zubac,12:32,Justise Winslow,8:19,99,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Jeremiah Robinson-Earl,5,1,2021-2022,1.0,0,6.0,OKC,94,Shai Gilgeous-Alexander,,,,,,,,,,,,,39:52,Josh Giddey,34:41,Darius Bazley,30:23,Théo Maledon,28:07,Mike Muscala,24:54,Kenrich Williams,22:15,Derrick Favors,15:36,Aleksej Pokusevski,15:16,Ty Jerome,5:54
0,,0,,0,0.00,107,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111040LAL.html,Away,104,9:59,0,,LAL,Anthony Davis,Wayne Ellington,8:30,Dwight Howard,7:56,,,,,,,,,38:07,Russell Westbrook,34:39,Carmelo Anthony,31:53,Avery Bradley,31:41,Kent Bazemore,22:28,Austin Reaves,22:08,Rajon Rondo,15:02,DeAndre Jordan,14:08,Malik Monk,13:28,104,1,0,0.0,,0.0,,0.0,,Jeremiah Robinson-Earl,3,0,2021-2022,0.0,1,0.0,OKC,107,Shai Gilgeous-Alexander,Théo Maledon,4:08,,,,,,,,,,,39:08,Luguentz Dort,35:00,Josh Giddey,31:54,Kenrich Williams,29:41,Derrick Favors,28:05,Darius Bazley,24:03,Ty Jerome,21:05,Aleksej Pokusevski,10:12,Mike Muscala,6:45
3,.600,5,55.556,1,1.00,94,2,3,75.0,5,.556,2.0,50.0,4.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111070OKC.html,Home,99,23:36,1,25.0,SAS,Keldon Johnson,Bryn Forbes,6:57,Keita Bates-Diop,6:47,,,,,,,,,37:46,Dejounte Murray,35:28,Lonnie Walker IV,27:08,Derrick White,26:33,Thaddeus Young,25:26,Devin Vassell,24:47,Drew Eubanks,22:12,Doug McDermott,18:56,Tre Jones,8:00,94,1,13,4.0,30.8,9.0,69.2,0.0,0.0,Jeremiah Robinson-Earl,5,0,2021-2022,2.0,1,4.0,OKC,99,Shai Gilgeous-Alexander,Théo Maledon,7:03,Vit Krejci,0:05,,,,,,,,,35:52,Luguentz Dort,34:35,Darius Bazley,32:15,Josh Giddey,27:12,Kenrich Williams,20:28,Aleksej Pokusevski,18:25,Mike Muscala,14:11,Ty Jerome,13:52,Derrick Favors,12:26
0,.000,2,50.000,0,,108,0,2,40.0,1,.250,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111100NOP.html,Away,100,11:18,3,60.0,NOP,Jonas Valančiūnas,Jaxson Hayes,8:57,,,,,,,,,,,39:03,Nickeil Alexander-Walker,34:28,Devonte' Graham,33:46,Herbert Jones,31:32,Garrett Temple,29:24,Tomáš Satoranský,18:59,Trey Murphy III,16:06,Josh Hart,14:55,Kira Lewis Jr.,12:50,100,3,2,2.0,100.0,0.0,0.0,0.0,0.0,Jeremiah Robinson-Earl,8,1,2021-2022,1.0,0,5.0,OKC,108,Shai Gilgeous-Alexander,Ty Jerome,2:54,Gabriel Deck,2:29,,,,,,,,,36:23,Luguentz Dort,33:58,Darius Bazley,33:38,Josh Giddey,30:42,Kenrich Williams,20:47,Derrick Favors,20:35,Aleksej Pokusevski,20:01,Tre Mann,14:02,Mike Muscala,13:13
